Reference Number,Property Name,NHL Designated Date,Restricted Address,Category of Property,State,County,City ,Street & Number,External Link,Federal Agencies,Other Names,Park Name
66000152,Alabama State Capitol,12/19/1960,0,BUILDING,ALABAMA,Montgomery,Montgomery,"Goat Hill, E end of Dexter Ave.",https://catalog.archives.gov/id/77835681,, Confederate Capitol,
66000931,Apalachicola Fort,7/19/1964,1,SITE,ALABAMA,Russell,Holy Trinity,Address Restricted,,,,
73000337,Barton Hall,11/7/1973,0,BUILDING,ALABAMA,Colbert,Cherokee,2.5 mi. (4 km) W of Cherokee on U.S. 72,https://catalog.archives.gov/id/77835633,, Cunningham Plantation,
05000455,"Bethel Baptist Church, Parsonage, and Guardhouse",4/5/2005,0,building,ALABAMA,Jefferson,Collegeville,"3233, 3232, and 3236 29th Avenue North",https://catalog.archives.gov/id/77835649,,,
74000398,Bottle Creek Indian Mounds,4/19/1994,1,SITE,ALABAMA,Baldwin,Stockton,Address Restricted,,, Mound Island;Bottle Creek Site (1 Ba 2),
82002009,Brown Chapel African Methodist Episcopal Church,12/9/1997,0,building,ALABAMA,Dallas,Selma,"410 Martin Luther King, Jr. St.",https://catalog.archives.gov/id/77836066,,,
76002259,"Clayton, Henry D., House",12/8/1976,0,BUILDING,ALABAMA,Barbour,Clayton,1 mi. S of Clayton off AL 30,https://catalog.archives.gov/id/77835631,, Clayton Plantation,
66000154,"Curry, J. L. M., House",12/21/1965,0,BUILDING,ALABAMA,Talladega,Talladega,3 mi. NE of Talladega on AL 21,https://catalog.archives.gov/id/77835692,, Jabez Lamar Monroe Curry House,
74000431,Dexter Avenue Baptist Church,5/30/1974,0,BUILDING,ALABAMA,Montgomery,Montgomery,454 Dexter Ave.,https://catalog.archives.gov/id/77835679,,,
13000281,Edmund Pettus Bridge,2/27/2013,0,STRUCTURE,ALABAMA,Dallas,Selma,"US 80, MP 85.415",,,,
74000420,Episcopal Church of the Nativity,6/21/1990,0,BUILDING,ALABAMA,Madison,Huntsville,212 Eustis St.,https://catalog.archives.gov/id/77836774,,,
72000178,Fort Mitchell Site,6/21/1990,1,SITE,ALABAMA,Russell,Fort Mitchell,Address Restricted,,, Fort Mitchell;1Ru102,
66000146,Fort Morgan,12/19/1960,0,BUILDING,ALABAMA,Baldwin,Gasque,Western terminus of AL 180,https://catalog.archives.gov/id/77835629,,,
66000148,Fort Toulouse,10/9/1960,0,SITE,ALABAMA,Elmore,Wetumpka,4 mi (6.4 km) SW of Wetumpka at confluence of the Coosa and Tallapoosa rivers,https://catalog.archives.gov/id/77835641,, Fort Jackson,
05000457,"Foster Auditorium, The University of Alabama",4/5/2005,0,BUILDING,ALABAMA,Tuscaloosa,Tuscaloosa,Sixth Avenue,https://catalog.archives.gov/id/77835694,,,
72000167,Gaineswood,3/3/1974,0,BUILDING,ALABAMA,Marengo,Demopolis,805 S. Cedar St.,https://catalog.archives.gov/id/77835667,,,
92001885,Government Street Presbyterian Church,10/5/1992,0,BUILDING,ALABAMA,Mobile,Mobile,300 Government St.,https://catalog.archives.gov/id/77835669,,,
70000101,Ivy Green,3/31/1992,0,BUILDING,ALABAMA,Colbert,Tuscumbia,300 W. North Common,https://catalog.archives.gov/id/77835970,, Helen Keller Birthplace,
